code,parent_code,description,comment,level,isic_rev4_code,isic_rev4_description,mapping_type
sc_naphtha,sc,Steam cracking using naphtha,,3,"1920","Manufacture of refined petroleum products","many-to-one"
sc_other_petro_products,sc,Steam cracking using other petroleum products,,3,"1920","Manufacture of refined petroleum products","many-to-one"
sc_propane,sc,Steam cracking using propane,,3,"1920","Manufacture of refined petroleum products","many-to-one"
bal_edc_vcm,petrochem,Balanced Process for EDC production with integrated VCM production plant,,2,"1920","Manufacture of refined petroleum products","many-to-one"
catox_tt,petrochem,Catalytic Oxidation- Air Process- with thermal treatment (natural gas-based),,2,"1920","Manufacture of refined petroleum products","many-to-one"
oxygen_process,petrochem,Catalytic Oxidation- Air Process- with oxygen (natural gas-based),,2,"1920","Manufacture of refined petroleum products","many-to-one"
dammox_flare,petrochem,Direct Ammoxidation with secondary products burned for energy recovery or flared (propylene-based),,2,"1920","Manufacture of refined petroleum products","many-to-one"
furn_black_wtt,petrochem,Furnace black process with thermal treatment,,2,"1920","Manufacture of refined petroleum products","many-to-one"
furn_black_wtt_carbon_black,furn_black_wtt,Furnace black process with thermal treatment using carbon black,,3,"1920","Manufacture of refined petroleum products","many-to-one"
furn_black_wtt_natural_gas,furn_black_wtt,Furnace black process with thermal treatment using natural gas,,3,"1920","Manufacture of refined petroleum products","many-to-one"
thermal_black_process,petrochem,Thermal black process - using carbon black,,2,"1920","Manufacture of refined petroleum products","many-to-one"
acetylene_black_process,petrochem,Acetylene black process - using carbon black,,2,"1920","Manufacture of refined petroleum products","many-to-one"
bdh,petrochem,Butane dehydrogenation (BDH),,2,"1920","Manufacture of refined petroleum products",many-to-one
bdc,petrochem,Benzene dehydrocondensation,,2,"1920","Manufacture of refined petroleum products",many-to-one
btxs,petrochem,"benzene, toluene, and xylenes (BTX) separation",,2,"1920","Manufacture of refined petroleum products",many-to-one
btxs_r,petrochem,"benzene, toluene, and xylenes (BTX) separation from reformate",,2,"1920","Manufacture of refined petroleum products",many-to-one
dh,petrochem,Dehydrogenation of isobutane and propane,,2,"1920","Manufacture of refined petroleum products",many-to-one
ibi,petrochem,Isobutane isomerization,,2,"1920","Manufacture of refined petroleum products",many-to-one
pyh,petrochem,Pygas hydrotreatment,,2,"1920","Manufacture of refined petroleum products",many-to-one
td,petrochem,Toluene disproportionation,,2,"1920","Manufacture of refined petroleum products",many-to-one
tha,petrochem,Toluene hydrodealkylation,,2,"1920","Manufacture of refined petroleum products",many-to-one
gasify_bio,petrochem,Gasification - Biomass,,2,"2011","Manufacture of basic chemicals","many-to-one"
gasify_agric_residues,gasify_bio,Gasification - Agricultural Waste (e.g. rice straw),,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_msw,gasify_bio,Gasification - Municipal Solid Waste,,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_forest_residues,gasify_bio,Gasification - Forest Residues,,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_bagasse,gasify_bio,Gasification - Bagasse,,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_carbonaceous_biomass,gasify_bio,Gasification - Carbonaceous Biomass,,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_dry_biomass,gasify_bio,Gasification - Dry Biomass,,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_isw_food,gasify_bio,Gasification - Industrial Solid Waste (Food),,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_lipid_rich_biomass,gasify_bio,Gasification - Lipid Rich Biomass,,3,"2011","Manufacture of basic chemicals","many-to-one"
gasify_wet_biomass,gasify_bio,Gasification - Wet Biomass,,3,"2011","Manufacture of basic chemicals","many-to-one"
ferment_bio,petrochem,Fermentation - Biomass,,2,"2011","Manufacture of basic chemicals","many-to-one"
metal_production,,production of metals,,0,"24","Manufacture of basic metals","many-to-many"
coke_production,metal_production,production of coke,,1,"1910",Manufacture of coke oven products,"one-to-one"
by-product_recovery,coke_production,coke production using by-product_recovery technology,,2,"1910",Manufacture of coke oven products,"many-to-one"
no_by-product_recovery,coke_production,coke production without by-product_recovery,,2,"1910",Manufacture of coke oven products,"many-to-one"
sinter_production,metal_production,production of sinter for blast furnace pig iron production,,1,"2410",Manufacture of basic iron and steel,"many-to-one"
sinter_undefined,sinter_production,sinter production,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
ironpellet_production,metal_production,production of iron pellets,,1,"2410",Manufacture of basic iron and steel,"many-to-one"
ironpellet_undefined,ironpellet_production,iron pellet production,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
pigiron_production,metal_production,production of pigiron,,1,"2410",Manufacture of basic iron and steel,"many-to-one"
pigiron_undefined,pigiron_production,iron production,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
dri_production,metal_production,production of direct reduced iron,,1,"2410",Manufacture of basic iron and steel,"many-to-one"
dri_undefined,dri_production,direct reduced iron production,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
steelmaking,metal_production,production of steel,,1,"2410",Manufacture of basic iron and steel,"many-to-one"
bof,steelmaking,electric arc furnace,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
eaf,steelmaking,basic oxygen furnace,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
ohf,steelmaking,open hearth furnace,,2,"2410",Manufacture of basic iron and steel,"many-to-one"
ferroalloy_production,metal_production,production of ferroalloy,,1,"2410",Manufacture of basic iron and steel,"many-to-one"
alu_production,metal_production,production of aluminium,,1,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
prebake,alu_production,prebake cell technology,,2,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
prebake_cwpb,prebake,centre prebake cell technology,,3,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
prebake_swpb,prebake,slide worked prebake cell technology,,3,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
soderberg,alu_production,soderberg cell technology,,2,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
soderberg_vss,sonderberg,vertical stud soderberg cell technology,,3,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
soderberg_hss,sonderberg,horizontal soderberg cell technology,,3,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
lead_production,metal_production,production of lead,,1,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
direct_smelting,lead_production,lead production from direct smelting,,2,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
imperial_smelting,lead_production,lead production from imperial smelting furnace,,2,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
secondary,lead_production,lead production from secondary materials,,2,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
lead_default,lead_production,mixture of 80 percent imperial smelt furnace and 20 percent direct smelting as default production,,2,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
zinc_production,metal_production,production of zinc,,1,"2420","Manufacture of basic precious and other non-ferrous metals","many-to-one"
zinc_default,zinc_production,mixture of 60 percent imperial smelt furnace and 40 percent waelz-kiln process as default production,,2,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
waelz_kiln,zinc_production,zinc production from walz kiln process,,2,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
pyrometeallurgical,zinc_production,zinc production from pyrometeallurgical process (imperial smelting furnace),,2,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
magnesium_prodcution,metal_production,magnesium production,,1,"2420",Manufacture of basic precious and other non-ferrous metals,"many-to-one"
material_production,,material production,,0,"23","Manufacture of other non-metallic mineral products","one-to-one"
cement_production,material_production,cement production,,1,"2394","Manufacture of cement, lime and plaster","many-to-one"
wastewater_treatment,,treatment of wastewater,,1,"3700","Sewerage","one-to-one"
wastewater_process,wastewater_treatment,treatment of wastewater by process,,1,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_primary,wastewater_process,"centralised  aerobic treatment plant, with primary treatment",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_primary-and-digest,wastewater_process,"centralised  aerobic treatment plant, with primary treatment and anaerobic sludge digestion",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_wo-primary,wastewater_process,"centralised  aerobic treatment plant, without separate primary treatment",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_primary_secondary,wastewater_process,"centralised  aerobic treatment plant, with primary treatment + secondary biological treatment",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_primary-and-digest_secondary,wastewater_process,"centralised  aerobic treatment plant, with primary treatment and anaerobic sludge digestion + secondary biological treatment",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_primary_secondary-tertiary,wastewater_process,"centralised  aerobic treatment plant, with primary treatment  + secondary biological treatment + tertiary treatment",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_primary-and-digest_secondary-tertiary,wastewater_process,"centralised  aerobic treatment plant, with primary treatment and anaerobic sludge digestion  + secondary biological treatment + tertiary treatment",,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_centralised_industry,wastewater_process,"centralised aearobic treatment plant in industry, industrial wastewater",,2,"3700","Sewerage","many-to-one"
coll_treat_onsite_sludge,wastewater_process,sludge treatment on site,,2,"3700","Sewerage","many-to-one"
coll_treat_aerob_shallow,wastewater_process,aearobic shallow pounds,,2,"3700","Sewerage","many-to-one"
coll_treat_anaerob_a-lagoons,wastewater_process,anaerobic lagoons,,2,"3700","Sewerage","many-to-one"
coll_treat_anaerob_f-lagoons,wastewater_process,facultative lagoons,,2,"3700","Sewerage","many-to-one"
coll_treat_anaerob_c-wetlands,wastewater_process,"constructed wetlands, SEE 2013 SUPPLEMENT WETLANDS",,2,"3700","Sewerage","many-to-one"
coll_treat_anaerob_a-reactors,wastewater_process,anaerobic reactors,,2,"3700","Sewerage","many-to-one"
coll_treat_onsite_composting,wastewater_process,"composting, EMISSIONS CONSIDERED in VOLUME 5",,2,"3700","Sewerage","many-to-one"
coll_treat_onsite_incineration,wastewater_process,"incineration and open burning, EMISSIONS CONSIDERED in VOLUME 5",,2,"3700","Sewerage","many-to-one"
coll_untreat_sewers-flowing_closed,wastewater_process,"flowing sewer, fast moving, clean (closed and underground)",,2,"3700","Sewerage","many-to-one"
coll_untreat_sewers-flowing_open,wastewater_process,"flowing sewer, fast moving, clean (open)",,2,"3700","Sewerage","many-to-one"
coll_untreat_sewer-stagnant,wastewater_process,"stegnant sewer, open and warm",,2,"3700","Sewerage","many-to-one"
uncoll_septic-tanks,wastewater_process,septic tanks (without dispersion field),,2,"3700","Sewerage","many-to-one"
uncoll_septic-system,wastewater_process,septic system (including a septic tank and a soil dispersal system),,2,"3700","Sewerage","many-to-one"
uncoll_latrines_small,wastewater_process,"open pits/latrines, dry climate, ground water table lower than latrine, small family (3-5 persons)",,2,"3700","Sewerage","many-to-one"
uncoll_latrines_communal,wastewater_process,"open pits/latrines, dra climate, ground water table lower than latrine, communal (many users)",,2,"3700","Sewerage","many-to-one"
uncoll_latrines_wet,wastewater_process,"open pits/latrines wet climate/flush water use, ground water table higher than latrine",,2,"3700","Sewerage","many-to-one"
uncoll_untreated,wastewater_process,no collection and  treatment of wastewater,,2,"3700","Sewerage","many-to-one"
septic-tank,wastewater_process,septic-tank wastewater treatment or discharge pathway,,2,"3700","Sewerage","many-to-one"
latrine,wastewater_process,latrine wastewater treatment or discharge pathway,,2,"3700","Sewerage","many-to-one"
ww_other,wastewater_process,other wastewater treatment or discharge pathway,,2,"3700","Sewerage","many-to-one"
sewer,wastewater_process,sewer wastewater treatment or discharge pathway,,2,"3700","Sewerage","many-to-one"
no_treat,wastewater_process,no wastewater treatment,,2,"3700","Sewerage","many-to-one"
waste_treatment,,treatment of waste,,0,"382","Waste treatment and disposal","one-to-one"
biological,waste_treatment,treatment of biological waste,,1,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
compost,biological,composting,,2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
anaer_digest,biological,anaerobic digestion at biogas facilities,,2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
incineration,waste_treatment,incineration of waste,,1,"382","Waste treatment and disposal","many-to-one"
inc_unspecified,incineration,incineration incin_unspecified,,2,"382",Waste treatment and disposal,"many-to-one"
inc_cont_stoker,incineration,continuous incineration with fluidised bed,,2,"382",Waste treatment and disposal,"many-to-one"
inc_cont_fluid,incineration,continuous incineration with stoker,,2,"382",Waste treatment and disposal,"many-to-one"
inc_semi_stoker,incineration,semi-continuous incineration with stoker,,2,"382",Waste treatment and disposal,"many-to-one"
inc_semi_fluid,incineration,semi-continuous incineration with fluidised bed,,2,"382",Waste treatment and disposal,"many-to-one"
inc_batch_stoker,incineration,batch type incineration with stoker,,2,"382",Waste treatment and disposal,"many-to-one"
inc_batch_fluid,incineration,batch type incineration with fluidised bed,,2,"382",Waste treatment and disposal,"many-to-one"
inc_pgm_shaft,incineration,pyrolysis-melting and gasification-melting with reactor shaft type,,2,"382",Waste treatment and disposal,"many-to-one"
inc_pgm_fluid,incineration,pyrolysis-melting and gasification-melting with reactor fluidized bed type,,2,"382",Waste treatment and disposal,"many-to-one"
inc_pgm_rotary,incineration,pyrolysis-melting and gasification-melting with reactor rotary kiln type,,2,"382",Waste treatment and disposal,"many-to-one"
inc_continuous,incineration,continuous incineration,,2,"382",Waste treatment and disposal,"many-to-one"
inc_batch,incineration,batch-type incineration,,2,"382",Waste treatment and disposal,"many-to-one"
inc_semi-continuous,incineration,semi-continuous incineration,,2,"382",Waste treatment and disposal,"many-to-one"
open_burn,waste_treatment,open burning,,1,"382",Waste treatment and disposal,"many-to-one"
landfill,waste_treatment,treatment of waste by solid waste disposal site,,1,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
managed,landfill,Managed solid waste disposal site (anaerobic).,"These must have controlled placement of waste (i.e., waste directed to specific deposition areas, a degree of control of scavenging and a degree of control of fires) and will include at least one of the following, (i) cover material; (ii) mechanical compacting; or (iii) levelling of the waste.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
managed_well_s-a,landfill,Well managed solid waste disposal site (semi-aerobic).,"When semi-aerobic managed swdS type is managed under one of the following condition, it is regarded as well magement ; (i) permeable cover material; (ii) leachate drainage system without sunk; (iii) regulating pondage; and (iv) gas ventilation system without cap, (v) connection of leachate drainage system and gas ventilation system.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
managed_poorly_s-a,landfill,Poorly managed solid waste disposal site (semi-aerobic).,"When semi-aerobic managed swdS type is managed under one of the following condition, it is regarded as poor management; (i) condition of sunk of leachate drainage system; (ii) closing of valve of drainage or atmosphere-unopening of drainage exit; (iii) capping of gas ventilation exit.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
managed_well_a-a,landfill,Well managed solid waste disposal site (active-reaction).,"Active aeration of managed landfills includes the technology of in-situ low pressure aeration, air sparging, bioventing, passive ventilation with extraction (suction). These must have controlled placement of waste and will include leachate drainage system to avoid the blockage of air penetration, and (i) cover material; (ii) air injection or gas extraction system without drying of waste.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
managed_poorly_a-a,landfill,Poorly managed solid waste disposal site (active-reaction).,"When swdS, that is equipped as well as active aeration of managed swdS, is managed under one of the following condition, it is judged as poor management; (i) blockage of aeration system due to failure of drainage; (ii) lack of available moisture for microorganisms due to high- pressure aeration.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
unmanaged_deep,landfill,"Unmanaged solid waste disposal site (depth greater, equal 5 metres).","All swdS not meeting the criteria of managed swdS and which have depths of greater than or equal to 5 metres and/or high water table at near ground level. Latter situation corresponds to filling inland water, such as pond, river or wetland, by waste.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
unmanaged_shallow,landfill,Unmanaged solid waste disposal site (depth lower 5 metres).,All swdS not meeting the criteria of managed swdS and which have depths of less than 5 metres.,2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
uncharacterised,landfill,Uncharacterised solid waste disposal site (if above not applicable).,"Only if countries cannot categorise its swdS into above four categories of managed and unmanaged swdS, the MCF for this category can be used.",2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
open-dumped,landfill,Unmanaged open dumped waste disposal,,2,"3821",Treatment and disposal of non-hazardous waste,"many-to-one"
