cancer_type,original_label,new_label,Program Category
Colorectal,cancer_state_10_0.7,Interferon OXPHOS,Cell Cycle_Proliferative
Colorectal,cancer_state_11_0.8,Proliferative I,Cell Cycle_Proliferative
Colorectal,cancer_state_12_0.7,Proliferative II,Cell Cycle_Proliferative
Colorectal,cancer_state_13_0.7,Translation-Active Stress,Proteostasis_Translation_Starvation
Colorectal,cancer_state_2_0.2,Inflammatory EMT Hypoxic,Inflammatory_EMT_KRAS Signaling
Colorectal,cancer_state_3_0.5,Inflammatory KRAS Matrix Remodeling,Inflammatory_EMT_KRAS Signaling
Colorectal,cancer_state_5_0.4,Unclear,Unclear
Colorectal,cancer_state_6_0.5,Proliferative III,Cell Cycle_Proliferative
Colorectal,cancer_state_7_0.6,Lipid Metabolic Adapted,Metabolism of Macromolecules_Xenobiotic Detoxification
Colorectal,cancer_state_8_0.4,ECM Remodeling Adhesive,EMT_Mesenchymal_ECM Remodeling
Colorectal,cancer_state_8_0.6,OXPHOS Proliferative,Cell Cycle_Proliferative
Colorectal,cancer_state_9_0.6,Collagen ECM Remodeling,EMT_Mesenchymal_ECM Remodeling
Brain,cancer_state_0_1,Mesenchymal ECM-Rich,EMT_Mesenchymal_ECM Remodeling
Brain,cancer_state_1_0.3,OXPHOS Translation-High,OXPHOS-Proteostasis_Stress-Adaptive
Brain,cancer_state_1_0.5,Neuronal Synaptic Active,Neuronal_Neuroendocrine
Brain,cancer_state_10_0.8,Proliferative I,Cell Cycle_Proliferative
Brain,cancer_state_11_1,Innate Immune-Active,Hypoxic_Inflammatory_Proteostatis Stress
Brain,cancer_state_12_0.3,Proliferative II,Cell Cycle_Proliferative
Brain,cancer_state_15_0.3,OXPHOS Bioenergetic Detox,Metabolism of Macromolecules_Xenobiotic Detoxification
Brain,cancer_state_15_0.6,Cytokine Immune-Active,Immune_Inflammatory_Interferon
Brain,cancer_state_16_1,Proliferative DNA Repair,Cell Cycle_Proliferative
Brain,cancer_state_18_0.7,Hypoxic Inflammatory Proteostasis,Hypoxic_Inflammatory_Proteostatis Stress
Brain,cancer_state_18_1,Proliferative III,Cell Cycle_Proliferative
Brain,cancer_state_19_0.5,Unclear,Unclear
Brain,cancer_state_19_0.8,Hedgehog Inflammatory,Immune_Inflammatory_Interferon
Brain,cancer_state_2_0.3,Proliferative IV,Cell Cycle_Proliferative
Brain,cancer_state_4_0.4,Starvation Translation-High,Hypoxic_Inflammatory_Proteostatis Stress
Brain,cancer_state_4_0.7,Hypoxic Mesenchymal Transition,Hypoxic_Inflammatory_Proteostatis Stress
Brain,cancer_state_4_0.8,Stress Translation-High,Hypoxic_Inflammatory_Proteostatis Stress
Brain,cancer_state_5_0.1,Unclear,Unclear
Brain,cancer_state_5_0.3,Hypoxic Glycolytic,Glycolytic_Hypoxic Metabolism
Brain,cancer_state_6_0.1,Synaptic,Neurotransmitter Release_Cilia
Brain,cancer_state_6_0.2,Proliferative V,Cell Cycle_Proliferative
Brain,cancer_state_6_1,Neurohormone Signaling,Neuronal_Neuroendocrine
Brain,cancer_state_9_0.2,Heat Shock Inflammatory,Heat Shock Response
Ovarian_HGSOC,cancer_state_0_0.6,OXPHOS Translation-High,OXPHOS-Proteostasis_Stress-Adaptive
Ovarian_HGSOC,cancer_state_1_0.7,Translation Immune,OXPHOS-Proteostasis_Stress-Adaptive
Ovarian_HGSOC,cancer_state_11_0.7,Antigen-Presenting Immune,Glycosylation_Complement_Metabolic
Ovarian_HGSOC,cancer_state_12_0.4,EMT Proteostasis,Proteostasis_Translation_Starvation
Ovarian_HGSOC,cancer_state_12_0.8,Starvation Translational,Proteostasis_Translation_Starvation
Ovarian_HGSOC,cancer_state_13_0.3,OXPHOS Proliferative,Cell Cycle_Proliferative
Ovarian_HGSOC,cancer_state_14_0.6,Estrogen Inflammatory Glycosylation,Glycosylation_Complement_Metabolic
Ovarian_HGSOC,cancer_state_15_0.4,Ciliogenesis Biogenesis,Neurotransmitter Release_Cilia
Ovarian_HGSOC,cancer_state_19_0.8,Inflammatory PI3K,Cell Junctions_RTK Signaling_ECM Organization
Ovarian_HGSOC,cancer_state_2_0.5,Hypoxic Glycolytic Stress,Glycolytic_Hypoxic Metabolism
Ovarian_HGSOC,cancer_state_2_0.7,Proliferative I,Cell Cycle_Proliferative
Ovarian_HGSOC,cancer_state_21_0.6,Proliferative II,Cell Cycle_Proliferative
Ovarian_HGSOC,cancer_state_23_0.8,Translation Starvation,Proteostasis_Translation_Starvation
Ovarian_HGSOC,cancer_state_25_0.8,Inflammatory ECM,EMT_Mesenchymal_ECM Remodeling
Ovarian_HGSOC,cancer_state_3_0.1,Proliferative III,Cell Cycle_Proliferative
Ovarian_HGSOC,cancer_state_3_0.5,Translational Stress-Active,Proteostasis_Translation_Starvation
Ovarian_HGSOC,cancer_state_3_0.6,Interferon Immune-Active,Immune_Inflammatory_Interferon
Ovarian_HGSOC,cancer_state_5_0.4,Inflammatory KRAS NF-κB,Inflammatory_EMT_KRAS Signaling
Ovarian_HGSOC,cancer_state_6_0.3,Protein Synthesis Active,Proteostasis_Translation_Starvation
Ovarian_HGSOC,cancer_state_6_0.4,rRNA Translation-High,Proteostasis_Translation_Starvation
Ovarian_HGSOC,cancer_state_7_0.3,Interferon OXPHOS,Immune_Inflammatory_Interferon
Ovarian_HGSOC,cancer_state_7_0.6,Proliferative IV,Cell Cycle_Proliferative
Ovarian_HGSOC,cancer_state_8_0.5,NF-κB Junctional,Cell Junctions_RTK Signaling_ECM Organization
Kidney_RCC,cancer_state_0_0.1,Translation-High Stress,Proteostasis_Translation_Starvation
Kidney_RCC,cancer_state_1_0.1,Coagulative EMT,EMT_Mesenchymal_ECM Remodeling
Kidney_RCC,cancer_state_1_0.3,ECM Stress-Response,EMT_Mesenchymal_ECM Remodeling
Kidney_RCC,cancer_state_1_0.5,Translation-Stress Adapted,Proteostasis_Translation_Starvation
Kidney_RCC,cancer_state_11_0.6,ECM-Coagulation Remodeling,EMT_Mesenchymal_ECM Remodeling
Kidney_RCC,cancer_state_11_0.8,Hypoxic Inflammatory Translation,Proteostasis_Translation_Starvation
Kidney_RCC,cancer_state_3_0.1,OXPHOS Translation-High,OXPHOS-Proteostasis_Stress-Adaptive
Kidney_RCC,cancer_state_3_0.2,OXPHOS Detoxification,Metabolism of Macromolecules_Xenobiotic Detoxification
Kidney_RCC,cancer_state_4_0.1,Proliferative I,Cell Cycle_Proliferative
Kidney_RCC,cancer_state_4_0.2,Metabolic Detox,Metabolism of Macromolecules_Xenobiotic Detoxification
Kidney_RCC,cancer_state_5_0.1,Proliferative II,Cell Cycle_Proliferative
Kidney_RCC,cancer_state_5_0.6,Translation-High Inflammatory,Proteostasis_Translation_Starvation
Kidney_RCC,cancer_state_9_0.7,ECM Cytokine-Rich,EMT_Mesenchymal_ECM Remodeling
Brain_LGG,cancer_state_0_0.2,Neuronal Synaptic,Neuronal_Neuroendocrine
Brain_LGG,cancer_state_0_0.4,Hypoxic Mesenchymal,EMT_Mesenchymal_ECM Remodeling
Brain_LGG,cancer_state_1_0.2,Hypoxic Glycolytic,Glycolytic_Hypoxic Metabolism
Brain_LGG,cancer_state_1_0.3,OXPHOS Translation-High,OXPHOS-Proteostasis_Stress-Adaptive
Brain_LGG,cancer_state_10_0.8,Proliferative I,Cell Cycle_Proliferative
Brain_LGG,cancer_state_11_1,Innate Immune-Active,Hypoxic_Inflammatory_Proteostatis Stress
Brain_LGG,cancer_state_14_0.4,ERBB2 PI3K Signaling,Unclear
Brain_LGG,cancer_state_15_0.6,Cytokine Immune-Active,Immune_Inflammatory_Interferon
Brain_LGG,cancer_state_18_0.7,Hypoxic Inflammatory Proteostasis,Hypoxic_Inflammatory_Proteostatis Stress
Brain_LGG,cancer_state_18_1,Proliferative II,Cell Cycle_Proliferative
Brain_LGG,cancer_state_19_0.8,Hedgehog Inflammatory,Immune_Inflammatory_Interferon
Brain_LGG,cancer_state_3_0.1,Proliferative III,Cell Cycle_Proliferative
Brain_LGG,cancer_state_3_0.7,Neurotransmitter Release I,Neuronal_Neuroendocrine
Brain_LGG,cancer_state_4_0.1,ECM Remodeling,EMT_Mesenchymal_ECM Remodeling
Brain_LGG,cancer_state_4_0.4,Starvation Translation-High,Hypoxic_Inflammatory_Proteostatis Stress
Brain_LGG,cancer_state_4_0.5,Hypoxic Inflammatory Mesenchymal,Hypoxic_Inflammatory_Proteostatis Stress
Brain_LGG,cancer_state_5_0.1,Unclear,Unclear
Brain_LGG,cancer_state_6_0.1,Neurotransmitter Release II,Neurotransmitter Release_Cilia
Brain_LGG,cancer_state_6_1,Neurohormone Signaling,Neuronal_Neuroendocrine
Brain_LGG,cancer_state_7_0.1,Heat Shock Proliferative,Heat Shock Response
Brain_LGG,cancer_state_9_0.7,Proliferative IV,Cell Cycle_Proliferative
Liver_HCC,cancer_state_0_0.1,Innate Immune Neuronal-like,Neuronal_Neuroendocrine
Liver_HCC,cancer_state_0_1,Immune Matrix Remodeling,Neuronal_Neuroendocrine
Liver_HCC,cancer_state_12_0.9,Proliferative I,Cell Cycle_Proliferative
Liver_HCC,cancer_state_14_0.8,Metabolic Detox Active,Metabolism of Macromolecules_Xenobiotic Detoxification
Liver_HCC,cancer_state_2_0.1,EMT Mesenchymal Invasive,EMT_Mesenchymal_ECM Remodeling
Liver_HCC,cancer_state_3_0.1,Metabolic Oxidative,Metabolism of Macromolecules_Xenobiotic Detoxification
Liver_HCC,cancer_state_4_0.1,Proliferative II,Cell Cycle_Proliferative
Liver_HCC,cancer_state_5_0.1,Metabolic Coagulation Active,Metabolism of Macromolecules_Xenobiotic Detoxification
Liver_HCC,cancer_state_5_0.6,Neuro-Immune Mesenchymal,Neuronal_Neuroendocrine
Liver_HCC,cancer_state_7_0.5,Proliferative III,Cell Cycle_Proliferative
Liver_HCC,cancer_state_7_0.7,ECM Complement Hypoxic,Neuronal_Neuroendocrine
Liver_HCC,cancer_state_8_0.7,Proliferative IV,Cell Cycle_Proliferative
Liver_HCC,cancer_state_9_0.2,Inflammatory ECM Remodeling,Immune_Inflammatory_Interferon
Liver_HCC,cancer_state_9_0.5,Proliferative V,Cell Cycle_Proliferative
Lung_LUAD,cancer_state_0_0.4,Proliferative OXPHOS-High,OXPHOS-Proteostasis_Stress-Adaptive
Lung_LUAD,cancer_state_0_0.7,MHC-II Ciliated Metabolic,Differentiation_Lineage Specific
Lung_LUAD,cancer_state_0_0.9,Proteasome-High Stress Reponsive,OXPHOS-Proteostasis_Stress-Adaptive
Lung_LUAD,cancer_state_12_0.7,Interferon ECM-Remodeling,Glycosylation_Complement_Metabolic
Lung_LUAD,cancer_state_12_0.9,NFκB Translation Stress,Inflammatory_Stress_P53-Apoptosis
Lung_LUAD,cancer_state_2_0.3,Hypoxia Glycolytic EMT I,Glycolytic_Hypoxic Metabolism
Lung_LUAD,cancer_state_2_0.5,Hypoxia Glycolytic EMT II,Glycolytic_Hypoxic Metabolism
Lung_LUAD,cancer_state_2_0.9,Proliferative,Cell Cycle_Proliferative
Lung_LUAD,cancer_state_3_0.9,Interferon EMT Fibrotic,EMT_Mesenchymal_ECM Remodeling
Lung_LUAD,cancer_state_7_0.4,Keratinized Squamous,Androgen Signaling_Keratinization
Lung_LUAD,cancer_state_7_0.6,MYC OXPHOS,OXPHOS-Proteostasis_Stress-Adaptive
Lung_LUAD,cancer_state_8_0.7,NF-κB Stress-Response,Inflammatory_Stress_P53-Apoptosis
Lung_LUAD,cancer_state_9_0.2,Alveolar OXPHOS-High,OXPHOS-Proteostasis_Stress-Adaptive
Neuroblastoma,cancer_state_0_0.1,Proliferative OXPHOS Stress,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_1_0.1,Synaptic Differentiated,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_1_0.4,Synaptic Neural Active,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_12_1,Differentiated Neuronal,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_16_0.3,Interferon Immune-Active,Immune_Inflammatory_Interferon
Neuroblastoma,cancer_state_16_0.6,Proliferative I,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_18_0.5,Proliferative DNA Repair,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_19_0.6,Proliferative II,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_2_0.3,Proliferative III,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_2_0.9,Neuro-Immune Signalling,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_20_0.9,Adhesive Developmental Signalling,Cell Junctions_RTK Signaling_ECM Organization
Neuroblastoma,cancer_state_22_0.9,Neuronal Immune Activation,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_24_0.5,Heme Stress Response,Unclear
Neuroblastoma,cancer_state_25_1,Proliferative IV,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_26_0.6,DNA Damage Response,Epigenetics_Genome Instability_DNA Repair
Neuroblastoma,cancer_state_3_0.3,Translation-High Proteostasis I,Proteostasis_Translation_Starvation
Neuroblastoma,cancer_state_3_0.8,Translation-High Proteostasis II,Proteostasis_Translation_Starvation
Neuroblastoma,cancer_state_3_1,Translation-High Proteostasis III,Proteostasis_Translation_Starvation
Neuroblastoma,cancer_state_4_0.3,Neurotransmitter OXPHOS,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_4_0.4,Hypoxic Inflammatory Stress,Inflammatory_Stress_P53-Apoptosis
Neuroblastoma,cancer_state_5_0.1,Hypoxic Inflammatory Neurotransmitter,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_5_0.2,Proteostasis Stress,Proteostasis_Translation_Starvation
Neuroblastoma,cancer_state_6_0.2,Proliferative V,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_7_0.2,Interferon Neuronal,Neuronal_Neuroendocrine
Neuroblastoma,cancer_state_7_0.6,Antigen-Presenting Immune,Immune_Inflammatory_Interferon
Neuroblastoma,cancer_state_7_0.9,Translation-High Proteostasis IV,Proteostasis_Translation_Starvation
Neuroblastoma,cancer_state_8_0.2,Proliferative VI,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_8_0.5,Proliferative VII,Cell Cycle_Proliferative
Neuroblastoma,cancer_state_9_0.4,Proliferative VIII,Cell Cycle_Proliferative
Pancreas,cancer_state_1_0.3,Proteostasis Stress I,Proteostasis_Translation_Starvation
Pancreas,cancer_state_1_0.5,KRAS EMT-Motile,Inflammatory_EMT_KRAS Signaling
Pancreas,cancer_state_10_0.3,Endocrine Differentiated,Differentiation_Lineage Specific
Pancreas,cancer_state_13_0.7,Xenobiotic Detoxification High,Glycosylation_Complement_Metabolic
Pancreas,cancer_state_2_0.7,Complement Mesenchymal,Glycosylation_Complement_Metabolic
Pancreas,cancer_state_3_0.2,OXPHOS Translation-High,OXPHOS-Proteostasis_Stress-Adaptive
Pancreas,cancer_state_4_0.1,Proliferative I,Cell Cycle_Proliferative
Pancreas,cancer_state_4_0.4,KRAS Inflammatory Mesenchymal,Inflammatory_EMT_KRAS Signaling
Pancreas,cancer_state_5_0.4,Proteostasis Stress II,Proteostasis_Translation_Starvation
Pancreas,cancer_state_5_0.8,Inflammatory UPR Active,Proteostasis_Translation_Starvation
Pancreas,cancer_state_7_0.1,Inflammatory Detoxifier,Glycosylation_Complement_Metabolic
Pancreas,cancer_state_8_0.4,Proliferative II,Cell Cycle_Proliferative
Pancreas,cancer_state_8_1,DNA Damage Stress,Inflammatory_Stress_P53-Apoptosis
Prostate,cancer_state_0_0.1,OXPHOS,OXPHOS-Proteostasis_Stress-Adaptive
Prostate,cancer_state_0_0.3,Androgen Inflammatory Cell Death,Androgen Signaling_Keratinization
Prostate,cancer_state_1_0.3,Translational Starvation Stress,Proteostasis_Translation_Starvation
Prostate,cancer_state_1_0.8,Translational Stress Proteostasis,Proteostasis_Translation_Starvation
Prostate,cancer_state_12_0.4,Proteostasis Inflammatory,Proteostasis_Translation_Starvation
Prostate,cancer_state_13_0.9,Inflammatory Cell-Cycle Arrest,Inflammatory_Stress_P53-Apoptosis
Prostate,cancer_state_18_0.8,Lipid Metabolic Adaptive,Metabolism of Macromolecules_Xenobiotic Detoxification
Prostate,cancer_state_2_0.1,Inflammatory PI3K,Inflammatory_Stress_P53-Apoptosis
Prostate,cancer_state_2_0.5,Glycolysation Secretion,Immune_Inflammatory_Interferon
Prostate,cancer_state_2_0.8,OXPHOS Immune,Metabolism of Macromolecules_Xenobiotic Detoxification
Prostate,cancer_state_20_0.8,Proliferative,Cell Cycle_Proliferative
Prostate,cancer_state_4_0.2,Heat-Shock Stress I,Proteostasis_Translation_Starvation
Prostate,cancer_state_4_0.4,Heat-Shock Stress II,Heat Shock Response
Prostate,cancer_state_4_0.8,Heat-Shock Stress III,Proteostasis_Translation_Starvation
Prostate,cancer_state_4_0.9,Inflammatory Coagulation Apoptotic,Inflammatory_Stress_P53-Apoptosis
Prostate,cancer_state_5_0.2,Translational Starvation Adaptive,Proteostasis_Translation_Starvation
Prostate,cancer_state_7_0.4,Translational Stress Adapted,Proteostasis_Translation_Starvation
Prostate,cancer_state_7_0.5,Lipid Hormone Metabolic,Metabolism of Macromolecules_Xenobiotic Detoxification
Prostate,cancer_state_9_0.9,Interferon Immune Activated,Immune_Inflammatory_Interferon
Colorectal_READ,cancer_state_0_0.3,Proliferative I,Cell Cycle_Proliferative
Colorectal_READ,cancer_state_1_0.2,Translation-Active Proteostasis,Proteostasis_Translation_Starvation
Colorectal_READ,cancer_state_10_0.9,Bile Acid Metabolic,Metabolism of Macromolecules_Xenobiotic Detoxification
Colorectal_READ,cancer_state_11_0.8,Proliferative II,Cell Cycle_Proliferative
Colorectal_READ,cancer_state_2_0.2,Inflammatory EMT Hypoxic,Inflammatory_EMT_KRAS Signaling
Colorectal_READ,cancer_state_3_0.5,Inflammatory Matrix Remodeling,Inflammatory_EMT_KRAS Signaling
Colorectal_READ,cancer_state_5_0.4,Unclear,Unclear
Colorectal_READ,cancer_state_6_0.5,Proliferative III,Cell Cycle_Proliferative
Colorectal_READ,cancer_state_7_0.6,Lipid Metabolic Adapted,Metabolism of Macromolecules_Xenobiotic Detoxification
Colorectal_READ,cancer_state_7_0.9,Apoptotic Stress,Inflammatory_Stress_P53-Apoptosis
Colorectal_READ,cancer_state_8_0.6,OXPHOS Proliferative,Cell Cycle_Proliferative
Colorectal_READ,cancer_state_9_0.6,Collagen ECM Remodeling,EMT_Mesenchymal_ECM Remodeling
Gastric,cancer_state_1_0.1,Proteostasis Stress I,Proteostasis_Translation_Starvation
Gastric,cancer_state_10_0.9,NF-κB Inflammatory,Immune_Inflammatory_Interferon
Gastric,cancer_state_12_1,Proliferative I,Cell Cycle_Proliferative
Gastric,cancer_state_13_0.5,Complement Glycosylation,Glycosylation_Complement_Metabolic
Gastric,cancer_state_13_0.9,Epigenetic Hormone Signaling,Epigenetics_Genome Instability_DNA Repair
Gastric,cancer_state_15_0.5,Metabolic Glycosylation,Glycosylation_Complement_Metabolic
Gastric,cancer_state_16_1,Global Translation,Proteostasis_Translation_Starvation
Gastric,cancer_state_2_0.1,Proliferative II,Cell Cycle_Proliferative
Gastric,cancer_state_3_0.1,Proteostasis Stress OXPHOS I,Proteostasis_Translation_Starvation
Gastric,cancer_state_3_0.6,Innate Immune Stress,Immune_Inflammatory_Interferon
Gastric,cancer_state_3_0.8,Translation Biogenesis,Proteostasis_Translation_Starvation
Gastric,cancer_state_4_0.7,Proliferative OXPHOS Immune,Cell Cycle_Proliferative
Gastric,cancer_state_5_0.1,Proteostasis Stress OXPHOS II,OXPHOS-Proteostasis_Stress-Adaptive
Gastric,cancer_state_5_0.7,Unclear,Unclear
Gastric,cancer_state_6_0.1,TNF Inflammatory,Immune_Inflammatory_Interferon
Gastric,cancer_state_6_0.3,ECM Complement Glycosylation,Glycosylation_Complement_Metabolic
Gastric,cancer_state_6_0.8,Proteostasis Stress II,Proteostasis_Translation_Starvation
Gastric,cancer_state_7_0.1,Translation Oxidative,Proteostasis_Translation_Starvation
Gastric,cancer_state_8_0.1,Ciliogenesis Biogenesis,Neurotransmitter Release_Cilia
Gastric,cancer_state_8_0.6,Proteostasis Stress III,Proteostasis_Translation_Starvation
Gastric,cancer_state_8_0.7,Epigenetic Estrogen,Epigenetics_Genome Instability_DNA Repair
